txn_id,date,merchant,category,amount,currency,method
T100000,2026-01-01,BigBasket,groceries,900.44,INR,UPI
T100001,2026-01-01,Swiggy,food,412.3,INR,CreditCard
T100002,2026-01-01,Local Pharmacy,health,1148.27,INR,DebitCard
T100003,2026-01-03,Metro Card,transport,367.15,INR,DebitCard
T100004,2026-01-03,IndianOil,fuel,1914.82,INR,UPI
T100005,2026-01-03,Metro Card,transport,144.75,INR,UPI
T100006,2026-01-03,Metro Card,transport,306.65,INR,UPI
T100007,2026-01-04,IndianOil,fuel,2270.05,INR,UPI
T100008,2026-01-05,Metro Card,transport,352.78,INR,UPI
T100009,2026-01-05,Amazon,shopping,1169.34,INR,UPI
T100010,2026-01-05,Myntra,shopping,2284.99,INR,UPI
T100011,2026-01-06,Local Pharmacy,health,180.85,INR,CreditCard
T100012,2026-01-06,IndianOil,fuel,2944.86,INR,CreditCard
T100013,2026-01-07,Zomato,food,698.41,INR,UPI
T100014,2026-01-07,Metro Card,transport,462.77,INR,UPI
T100015,2026-01-07,Uber,transport,482.42,INR,CreditCard
T100016,2026-01-07,Amazon,shopping,2577.15,INR,CreditCard
T100017,2026-01-08,IndianOil,fuel,951.04,INR,DebitCard
T100018,2026-01-09,Myntra,shopping,522.17,INR,UPI
T100019,2026-01-09,IndianOil,fuel,1078.69,INR,DebitCard
T100020,2026-01-10,Metro Card,transport,433.84,INR,UPI
T100021,2026-01-10,Metro Card,transport,346.98,INR,UPI
T100022,2026-01-10,Local Pharmacy,health,221.4,INR,DebitCard
T100023,2026-01-11,Metro Card,transport,118.12,INR,UPI
T100024,2026-01-11,IndianOil,fuel,1219.08,INR,UPI
T100025,2026-01-12,IndianOil,fuel,2935.74,INR,DebitCard
T100026,2026-01-12,Local Pharmacy,health,540.16,INR,UPI
T100027,2026-01-12,BigBasket,groceries,727.44,INR,CreditCard
T100028,2026-01-13,Zomato,food,305.98,INR,CreditCard
T100029,2026-01-13,Amazon,shopping,445.66,INR,CreditCard
T100030,2026-01-13,Swiggy,food,302.52,INR,DebitCard
T100031,2026-01-14,Spotify,entertainment,119.0,INR,UPI
T100032,2026-01-14,Metro Card,transport,499.96,INR,DebitCard
T100033,2026-01-16,Canva Pro (US),productivity,3189.36,USD,CreditCard
T100034,2026-01-16,Zomato,food,249.42,INR,DebitCard
T100035,2026-01-16,Metro Card,transport,399.19,INR,UPI
T100036,2026-01-16,Zomato,food,434.04,INR,DebitCard
T100037,2026-01-17,Uber,transport,325.52,INR,DebitCard
T100038,2026-01-18,Myntra,shopping,981.69,INR,UPI
T100039,2026-01-18,Jio Recharge,telecom,299.0,INR,UPI
T100040,2026-01-18,Hotstar,entertainment,299.0,INR,CreditCard
T100041,2026-01-18,Uber,transport,591.08,INR,UPI
T100042,2026-01-19,Local Pharmacy,health,849.87,INR,DebitCard
T100043,2026-01-20,Local Pharmacy,health,237.65,INR,UPI
T100044,2026-01-20,Local Pharmacy,health,879.17,INR,UPI
T100045,2026-01-20,IndianOil,fuel,2111.67,INR,UPI
T100046,2026-01-20,Swiggy,food,328.89,INR,UPI
T100047,2026-01-21,Local Pharmacy,health,749.8,INR,CreditCard
T100048,2026-01-21,Quillbot Premium,productivity,1958.98,USD,CreditCard
T100049,2026-01-21,IndianOil,fuel,2638.29,INR,UPI
T100050,2026-01-21,Amazon,shopping,3559.03,INR,UPI
T100051,2026-01-22,IndianOil,fuel,2407.79,INR,DebitCard
T100052,2026-01-23,CultFit Gym,fitness,1300.0,INR,UPI
T100053,2026-01-23,Amazon,shopping,2704.76,INR,UPI
T100054,2026-01-23,Local Pharmacy,health,432.26,INR,DebitCard
T100055,2026-01-24,Zomato,food,768.78,INR,UPI
T100056,2026-01-24,Swiggy,food,783.12,INR,DebitCard
T100057,2026-01-24,Zomato,food,416.34,INR,DebitCard
T100058,2026-01-24,Local Pharmacy,health,822.3,INR,UPI
T100059,2026-01-25,Uber,transport,122.04,INR,CreditCard
T100060,2026-01-25,Myntra,shopping,3452.81,INR,DebitCard
T100061,2026-01-26,Amazon,shopping,5888.43,INR,DebitCard
T100062,2026-01-26,Metro Card,transport,120.24,INR,UPI
T100063,2026-01-27,Metro Card,transport,384.56,INR,UPI
T100064,2026-01-27,Uber,transport,153.72,INR,UPI
T100065,2026-01-28,BigBasket,groceries,1413.31,INR,DebitCard
T100066,2026-01-29,Zomato,food,772.62,INR,CreditCard
T100067,2026-01-29,Amazon,shopping,1866.98,INR,UPI
T100068,2026-01-29,Myntra,shopping,1561.31,INR,CreditCard
T100069,2026-01-30,BigBasket,groceries,1960.22,INR,DebitCard
T100070,2026-01-30,Myntra,shopping,973.09,INR,UPI
T100071,2026-01-30,Uber,transport,76.58,INR,UPI
T100072,2026-01-31,Myntra,shopping,4260.54,INR,UPI
T100073,2026-01-31,Local Pharmacy,health,805.43,INR,UPI
T100074,2026-01-31,Amazon,shopping,4495.85,INR,UPI
T100075,2026-02-01,Netflix,entertainment,649.0,INR,UPI
T100076,2026-02-01,IndianOil,fuel,1933.69,INR,CreditCard
T100077,2026-02-01,Uber,transport,146.87,INR,UPI
T100078,2026-02-01,Metro Card,transport,281.91,INR,DebitCard
T100079,2026-02-01,Local Pharmacy,health,112.33,INR,UPI
T100080,2026-02-02,BigBasket,groceries,381.11,INR,DebitCard
T100081,2026-02-02,Zomato,food,880.56,INR,CreditCard
T100082,2026-02-02,Myntra,shopping,571.5,INR,DebitCard
T100083,2026-02-03,Metro Card,transport,344.78,INR,UPI
T100084,2026-02-03,Myntra,shopping,3518.73,INR,UPI
T100085,2026-02-03,BigBasket,groceries,278.98,INR,UPI
T100086,2026-02-03,Metro Card,transport,471.07,INR,CreditCard
T100087,2026-02-04,Myntra,shopping,4018.07,INR,DebitCard
T100088,2026-02-04,Metro Card,transport,255.46,INR,DebitCard
T100089,2026-02-04,Local Pharmacy,health,977.59,INR,DebitCard
T100090,2026-02-04,Amazon,shopping,409.36,INR,DebitCard
T100091,2026-02-05,Uber,transport,531.34,INR,UPI
T100092,2026-02-05,Uber,transport,386.1,INR,UPI
T100093,2026-02-06,BigBasket,groceries,1904.91,INR,CreditCard
T100094,2026-02-08,Swiggy,food,281.13,INR,UPI
T100095,2026-02-08,Myntra,shopping,2093.14,INR,UPI
T100096,2026-02-08,Swiggy,food,710.25,INR,DebitCard
T100097,2026-02-08,Amazon,shopping,2722.61,INR,CreditCard
T100098,2026-02-09,Amazon,shopping,4167.9,INR,CreditCard
T100099,2026-02-09,BigBasket,groceries,556.95,INR,UPI
T100100,2026-02-09,Myntra,shopping,1065.21,INR,UPI
T100101,2026-02-10,IndianOil,fuel,2468.44,INR,UPI
T100102,2026-02-11,Spotify,entertainment,119.0,INR,UPI
T100103,2026-02-11,IndianOil,fuel,2353.08,INR,CreditCard
T100104,2026-02-12,Metro Card,transport,206.02,INR,CreditCard
T100105,2026-02-12,Local Pharmacy,health,857.28,INR,UPI
T100106,2026-02-12,BigBasket,groceries,989.0,INR,CreditCard
T100107,2026-02-13,Canva Pro (US),productivity,3043.83,USD,CreditCard
T100108,2026-02-13,Amazon,shopping,4837.73,INR,CreditCard
T100109,2026-02-14,Swiggy,food,168.44,INR,CreditCard
T100110,2026-02-14,Myntra,shopping,929.66,INR,UPI
T100111,2026-02-14,Local Pharmacy,health,1086.52,INR,CreditCard
T100112,2026-02-14,Myntra,shopping,1223.26,INR,DebitCard
T100113,2026-02-16,Hotstar,entertainment,299.0,INR,CreditCard
T100114,2026-02-16,IndianOil,fuel,2877.92,INR,DebitCard
T100115,2026-02-17,Jio Recharge,telecom,299.0,INR,UPI
T100116,2026-02-18,Quillbot Premium,productivity,1961.4,USD,CreditCard
T100117,2026-02-18,Swiggy,food,329.56,INR,UPI
T100118,2026-02-18,Zomato,food,134.77,INR,DebitCard
T100119,2026-02-18,Amazon,shopping,4614.26,INR,CreditCard
